tweet id,sentiment,target,annotator id,comment,dispute
10237553563, negative, hcr,aluckhardt,,
10239984258, negative, hcr,aluckhardt,,
10240791063, negative, dems,aluckhardt,,
10253203734, negative, hcr,aluckhardt,"Factual, but wait times were a prominent criticism of hcr and #hcr is present.",
10255459398, negative, gop,aluckhardt,Also positive for hcr.,
10255930511, negative,conservatives,aluckhardt,,
10268857013, negative,obama,aluckhardt,,
10284982547, negative,conservatives,aluckhardt,"Because ""death panels"" were a criticism associated with prominent conservatives. Could also be teaparty.",
10286758830, negative,conservatives,aluckhardt,Not necessarily positive for hcr because only claims that often-cited criticisms are incorrect.,
10287678432, negative, hcr,aluckhardt,,
10287773768, negative,obama,aluckhardt,Could be dems instead.,
10294219761, negative, other,aluckhardt,"I can't tell if the ""brainwashed"" are supporters or opponents of hcr. Could be opposed to dems weakening hcr in reconciliation. Or opponents could be derailing needed change.",
10296807551, negative, hcr,aluckhardt,"""Socialized"" carried negative connotation for hcr.",
10250669782, neutral, hcr,aluckhardt,,
10290103232, neutral, hcr,aluckhardt,,
10250616855,positive, hcr,aluckhardt,"Also negative for Palin, as tweet implies hypocrisy on her part.",
10255992832,positive, hcr,aluckhardt,,
10272412959,positive, hcr,aluckhardt,,
10290782310,positive, hcr,aluckhardt,"All caps emphasizes sentiment in this factual tweet. Could be negative for conservatives, who suggested that more than 4% didn't want reform.",
10296651867,positive,teaparty,aluckhardt,,
9959331913,irrelevant,other ,AMahmud,advertising ,
9946829766,negative,gop,AMahmud,,
9898405633,negative ,obama ,AMahmud,,
9915233477,negative ,hcr,AMahmud,,
9941134669,negative ,obama,AMahmud,,
9941460369,negative ,hcr,AMahmud,negative toward health care reform ,
9945515119,negative ,hcr,AMahmud,Sarcastic?,
9951361736,negative ,gop,AMahmud,,
9971475686,negative ,hcr ,AMahmud,,
9985323762,negative ,obama,AMahmud,,
9634286658,neutral ,hcr,AMahmud,,
9942797405,neutral ,hcr,AMahmud,,neutral or positive 
9939119667,positive ,other,AMahmud,,
9946568883,positive ,hcr,AMahmud,,
9946494391,neutral,dems,AMahmud,,
9964953434,irrelevant ,other ,AMahmud ,,
9954110972,negative ,hcr ,AMahmud ,,
9979336723,negative ,hcr,AMahmud ,sarcasm  ,
9980033289,negative ,hcr,AMahmud ,,
9979439767,positive ,hcr ,AMahmud ,,
10267241057,negative,gop,athornton,Shows negative sentiment to Rove,
10278968512,negative,hcr,athornton,"sarcastic?, might be irrelevant since talking about Clinton",
10281108398,negative,dems,athornton,"""ram"" and ""Slaughter"" are negative, takeover itself could be positive",
10281128016,negative,dems,athornton,"""ram"" and ""Slaughter"" are negative, takeover itself could be positive, fact that its RT by a GOP shows possibly negative action",
10282024773,negative,hcr,athornton,Could be sarcastic,
10282205697,negative,dems,athornton,,
10283310839,negative,hcr,athornton,"Unclear what is ""Suicide,"" can't follow link, but obviously negative and about hcr",
10284526068,negative,hcr,athornton,,
10285180077,negative,dems,athornton,"""Slaughter Solution"" is negative towards Dems",
10293140668,negative,hcr,athornton,"This is negative towards the current health reform, but positive about the ""real"" health reform",
10297265307,negative,hcr,athornton,sarcastic,
10278098905,neutral,hcr,athornton,,
10278377278,neutral,hcr,athornton,,
10279187624,neutral,hcr,athornton,,
10281202702,neutral,hcr,athornton,HCR because it is talking about a new bill for Medicare,
10281322366,neutral,hcr,athornton,,
10282028459,neutral,hcr,athornton,,
10279410405,positive,hcr,athornton,"positive about the conference, not necessarily hcr",
10299433446,positive,hcr,athornton,,
10281071034,positive,hcr,athornton,,
10227824429,negative,conservatives,bwelch,"This is directly irrelevant to HCR, but they want it passed so that Limbaugh will leave the country, does this constitute the target as ""conservatives"" (as Limbaugh is conservative) or other (as it does not target all conservatives, just one)?",
9856788944, negative, hcr,bwelch,,
9884143478, negative, hcr,bwelch,,
9887380083, negative,obama,bwelch,"The person is obviously FOR a health care reform, they just don't seem to like the proposed bill. This could be negative towards either Obama who created the bill and/or this specific HCR.",
9891780777, negative, hcr,bwelch,,
9936660635, negative,obama,bwelch,,
9937632290, negative, hcr,bwelch,,
9946380906, negative, gop,bwelch,,
9950777335, negative, gop,bwelch,,
9981821140, negative,obama,bwelch,,
9983210793, negative, hcr,bwelch,,
10031362290, negative, hcr,bwelch,,
10100577202, negative, liberals,bwelch,,
10223703417, negative, hcr,bwelch,,
9631372657,positive, hcr,bwelch,,this tweet could be considered neutral because it is only stating a statistic<< but no one wants to die so its def pro hcr
9856510134,positive, hcr,bwelch,,
9938177900,positive, hcr,bwelch,,
10051771599,positive, hcr,bwelch,,
10226088073,positive, hcr,bwelch,,
10077260163,negative, hcr,bwelch,"This one seems to be objective and just stating that there are 3,000 mandates and the regulations have yet to be written, but it also seems to have a negative undertone, especially considering the #teaparty tag. ",
10641153052, negative,obama,dadaniel,,
10641231917, negative,obama,dadaniel,,
10641468614, negative, hcr,dadaniel,,
10642039194, negative,conservatives,dadaniel,,
10642175388, negative,obama,dadaniel,,
10642191213, negative, other,dadaniel,,
10642257135, negative, dems,dadaniel,,
10643572405, negative,obama,dadaniel,,
10643680516, negative,obama,dadaniel,,
10645383003, negative, liberals,dadaniel,,
10645763388, negative, other,dadaniel,"seems negative towards an Insurance Company, as representative of the Insurance Industry",
10647935847, negative, hcr,dadaniel,,
10633077050, neutral, hcr,dadaniel,,
10644703373, neutral, hcr,dadaniel,,
10646367098, neutral,obama,dadaniel,,
10636787136,positive, hcr,dadaniel,,
10642177625,positive,conservatives,dadaniel,,
10645886726,positive, hcr,dadaniel,,
10646121309,positive, hcr,dadaniel,,
10646576559,positive, hcr,dadaniel,,
10609413457,irrelevant,hcr,dchan,,
10610422560,irrelevant,other,dchan,Not related. Link links to an 'intrade' celebrity stock exchange with celebrity as stocks? O_o,
10610751271,irrelevant,other,dchan,,
10616430498,irrelevant,other,dchan,links to video,
10617968552,irrelevant,other,dchan,,
10618771096,irrelevant,other,dchan,,
10600781757,negative,obama,dchan,,
10608226945,negative,hcr,dchan,,
10608358990,negative,hcr,dchan,,
10620687351,negative,hcr,dchan,,
10621057674,negative,hcr,dchan,,
10582547976,neutral,hcr,dchan,,
10603767263,neutral,gop,dchan,,
10580729914,positive,hcr,dchan,,
10603963123,positive,hcr,dchan,,
10617801820,positive,hcr,dchan,,
10617920168,positive,hcr,dchan,,
10618324016,positive,hcr,dchan,,
10618743979,positive,hcr,dchan,,
10619044629,positive,hcr,dchan,,
9891228882,irrelevant,other,ddean,,
9830505207,negative,obama,ddean,clearly wants HCR,
9892060621,negative,dems,ddean,clearly a republican,
9936124524,negative,gop,ddean,,
9938342381,negative,gop,ddean,,
10671791791,negative,hcr,ddean,,
10671865553,negative,hcr,ddean,,
10671989094,negative,obama,ddean,,
10672148860,negative,dems,ddean,,
9907313767,neutral,hcr,ddean,,
9934100489,neutral,obama,ddean,,
9934199970,neutral,dems,ddean,,
9937054133,neutral,obama,ddean,,
9940506487,neutral,hcr,ddean,,
10670289215,neutral,hcr,ddean,,
10670927782,neutral,other,ddean,,
10671322063,neutral,hcr,ddean,,
9936572457,positive,obama,ddean,,
9936635329,positive,hcr,ddean,,
10666475271,positive,hcr,ddean,,
10671600958,positive,hcr,ddean,,
9899825805,negative,gop,ddean,definitely a stab at Sarah Palin,
10672042727,neutral,hcr,ddean,,
10638246364, negative, hcr,dhagan,,
10657793846, negative, other,dhagan,"""Other"" being Kucinich, but this could also be Positive",
10659471717, negative, hcr,dhagan,,
10663766421, negative, hcr,dhagan,,
10666490992, negative, hcr,dhagan,,
10669348320, negative,obama,dhagan,It's the quotation marks that make it sarcastic,
10670711808, negative, hcr,dhagan,,
10676178779, negative,obama,dhagan,,
10622971998, neutral, hcr,dhagan,,
10643148842, neutral,conservatives,dhagan,,
10666695978, neutral,conservatives,dhagan,,
10668481130, neutral,obama,dhagan,,
10669819730, neutral, dems,dhagan,,
10672310628, neutral, hcr,dhagan,spam?,
10672392220, neutral, hcr,dhagan,,
10672586478, neutral, hcr,dhagan,,
10672727589, neutral, hcr,dhagan,,
10655519211,positive,conservatives,dhagan,,
10657139612,positive,conservatives,dhagan,,
10657657108,positive, gop,dhagan,,
10664353714,positive, hcr,dhagan,,
10231680981,negative,conservatives,dperez,vodka and palin,
10239775067, irrelevant, other,dperez,,
10209788775, negative, hcr,dperez,,
10232408086, negative, hcr,dperez,disputes cuba as an example for hcr,
10233004288, negative, hcr,dperez,against passage of hcr,
10233624895, negative,conservatives,dperez,,
10279920490, negative, hcr,dperez,,
10342676769, negative,obama,dperez,,
10486346025, negative, hcr,dperez,,
10231310641, neutral, hcr,dperez,comment about speed of bill,
10232410285, neutral, hcr,dperez,about an alternative done in indiana,
10232517608, neutral, hcr,dperez,attacks news networks for lack of coverage on hcr,
10232613952, neutral, hcr,dperez,comment about speed of bill,
10233025310, neutral, other,dperez,article,
10214057873,positive, hcr,dperez,,"This could be irrelevant since it's mainly talking about Canadian health care, it would be best if could read link"
10228082667,positive, hcr,dperez,,
10232651505,positive, hcr,dperez,,
10233678824,positive, hcr,dperez,,
10238648789,positive, hcr,dperez,,
10248266224,positive, hcr,dperez,,
10274868195,positive, hcr,dperez,,
10349107002,positive, hcr,dperez,,
10231144370,positive, hcr,dperez,not clear of position but clearly wants to be heard,
10231564842,negative,other,dperez,comment about publicity of rally not clear on position,
10380697915, negative, hcr,dperez ,,
10172006423,irrelevant,other,ecobert,,
10172286152,negative,dems,ecobert,"sarcasm, the word ""very"" is in all caps, so it is hard to determine whether this person is actually interested or not. ",
10173095157,negative,hcr,ecobert,,
10175256482,negative,dems,ecobert,"this comment is negative towards Pelosi, saying that she has no ethics",
10176417565,negative,obama,ecobert,"sarcasm, obama is not answering questions about hcr and he is making it better by not saying anything about it, thus the comment in sarcastic towards obama",
10176598357,negative,hcr,ecobert,"sarcasm, based on the excessive amount of exclamation points",
10176897635,negative,hcr,ecobert,,
10177091274,negative,obama,ecobert,,
10178087984,negative,hcr,ecobert,,
10179037742,negative,obama,ecobert,"sarcasm, it sounds like this person is mocking obama",
10180038129,negative,obama,ecobert,saying obama is not aware of reality,
